Date,Home,Away
2018-04-03,Athletics,Rangers
2018-03-31,Blue Jays,Yankees
2018-08-24,Twins,Athletics
2018-08-05,Diamondbacks,Giants
2018-04-01,Orioles,Twins
2018-09-21,Yankees,Orioles
2018-07-06,Twins,Orioles
2018-07-11,Mets,Phillies
2018-09-15,Astros,Diamondbacks
2018-04-16,Mets,Nationals
2018-05-30,Brewers,Cardinals
2018-07-22,Tigers,Red Sox
2018-05-08,Rays,Braves
2018-08-04,Cubs,Padres
2018-07-14,Braves,Diamondbacks
2018-06-06,Giants,Diamondbacks
2018-06-03,Padres,Reds
2018-09-10,Tigers,Astros
2018-09-05,Pirates,Reds
2018-05-27,Yankees,Angels
2018-07-28,White Sox,Blue Jays
2018-04-26,Indians,Mariners
2018-07-14,Cardinals,Reds
2018-09-27,White Sox,Indians
2018-05-20,Blue Jays,Athletics
2018-05-05,Mets,Rockies
2018-07-20,Rays,Marlins
2018-05-31,Royals,Twins
2018-09-19,Diamondbacks,Cubs
2018-05-25,Indians,Astros
2018-08-17,Indians,Orioles
2018-09-13,Mets,Marlins
2018-07-29,Padres,Diamondbacks
2018-05-13,Padres,Cardinals
2018-05-06,Mariners,Angels
2018-08-22,White Sox,Twins
2018-09-26,Cardinals,Brewers
2018-07-31,Pirates,Cubs
2018-09-18,Diamondbacks,Cubs
2018-07-24,Cubs,Diamondbacks
2018-06-16,Athletics,Angels
2018-06-18,Phillies,Cardinals
2018-05-16,Orioles,Phillies
2018-06-04,Tigers,Yankees
2018-06-23,Rockies,Marlins
2018-05-06,Diamondbacks,Astros
2018-07-29,Reds,Phillies
2018-04-21,Rays,Twins
2018-07-11,Padres,Dodgers
2018-06-09,Twins,Angels
2018-08-28,Angels,Rockies
2018-05-30,Athletics,Rays
2018-06-02,Royals,Athletics
2018-07-15,Giants,Athletics
2018-04-25,White Sox,Mariners
2018-09-05,Diamondbacks,Padres
2018-06-28,Reds,Brewers
2018-09-03,Athletics,Yankees
2018-09-06,White Sox,Tigers
2018-05-12,Orioles,Rays
2018-05-06,Rangers,Red Sox
2018-04-19,Phillies,Pirates
2018-04-07,Pirates,Reds
2018-07-24,Reds,Cardinals
2018-05-09,Cubs,Marlins
2018-07-22,Athletics,Giants
2018-09-15,Royals,Twins
2018-04-08,Phillies,Marlins
2018-09-14,Phillies,Marlins
2018-07-04,Athletics,Padres
2018-05-31,Tigers,Angels
2018-09-25,Giants,Padres
2018-05-15,Mets,Blue Jays
2018-07-07,Mariners,Rockies
2018-06-10,Phillies,Brewers
2018-05-29,Dodgers,Phillies
2018-07-05,Tigers,Rangers
2018-06-26,Cardinals,Indians
2018-06-13,Rays,Blue Jays
2018-05-08,Yankees,Red Sox
2018-09-01,Cardinals,Reds
2018-06-19,Indians,White Sox
2018-08-24,Cubs,Reds
2018-04-10,Royals,Mariners
2018-08-25,Orioles,Yankees
2018-09-12,Angels,Rangers
2018-05-28,Royals,Twins
2018-07-03,Royals,Indians
2018-08-11,Astros,Mariners
2018-06-14,Yankees,Rays
2018-04-15,Rays,Phillies
2018-08-08,Rangers,Mariners
2018-08-11,White Sox,Indians
2018-07-22,Rays,Marlins
2018-05-09,White Sox,Pirates
2018-09-15,Orioles,White Sox
2018-07-02,Nationals,Red Sox
2018-08-22,Brewers,Reds
2018-05-09,Athletics,Astros
2018-08-26,Diamondbacks,Mariners
2018-08-23,Rockies,Padres
2018-04-14,Astros,Rangers
2018-06-07,Cubs,Phillies
2018-04-25,Yankees,Twins
2018-07-08,Brewers,Braves
2018-07-14,Dodgers,Angels
2018-06-20,Padres,Athletics
2018-05-22,Mets,Marlins
2018-09-09,White Sox,Angels
2018-06-20,Reds,Tigers
2018-09-07,Reds,Padres
2018-04-08,Red Sox,Rays
2018-07-22,Royals,Twins
2018-07-01,Blue Jays,Tigers
2018-09-30,Angels,Athletics
2018-04-14,Reds,Cardinals
2018-04-15,Dodgers,Diamondbacks
2018-05-10,Padres,Nationals
2018-06-02,Giants,Phillies
2018-08-30,Rangers,Dodgers
2018-07-09,Angels,Dodgers
2018-07-07,Giants,Cardinals
2018-04-04,Diamondbacks,Dodgers
2018-04-15,Nationals,Rockies
2018-09-02,Royals,Orioles
2018-09-16,Padres,Rangers
2018-07-31,Rays,Angels
2018-06-07,Cardinals,Marlins
2018-06-14,Braves,Padres
2018-08-15,Astros,Rockies
2018-08-19,Padres,Diamondbacks
2018-05-16,Twins,Cardinals
2018-08-11,Yankees,Rangers
2018-08-11,Angels,Athletics
2018-04-02,Braves,Nationals
2018-08-18,White Sox,Royals
2018-08-21,Red Sox,Indians
2018-03-31,Padres,Brewers
2018-04-13,Twins,White Sox
2018-04-13,Reds,Cardinals
2018-07-01,Diamondbacks,Giants
2018-06-06,Blue Jays,Yankees
2018-07-21,Rangers,Indians
2018-07-27,Braves,Dodgers
2018-06-24,Reds,Cubs
2018-05-02,Diamondbacks,Dodgers
2018-05-26,Cubs,Giants
2018-08-12,Rockies,Dodgers
2018-07-22,Athletics,Giants
2018-09-06,Reds,Padres
2018-04-14,Nationals,Rockies
2018-04-01,Tigers,Pirates
2018-08-27,Orioles,Yankees
2018-04-21,Brewers,Marlins
2018-08-12,Giants,Pirates
2018-05-11,Orioles,Rays
2018-05-28,Red Sox,Blue Jays
2018-06-27,Marlins,Diamondbacks
2018-06-02,Twins,Indians
2018-04-19,Diamondbacks,Giants
2018-09-06,Mariners,Orioles
2018-04-18,Brewers,Reds
2018-04-19,Padres,Dodgers
2018-06-29,Phillies,Nationals
2018-07-04,Diamondbacks,Cardinals
2018-06-02,Rockies,Dodgers
2018-07-27,Reds,Phillies
2018-05-23,Dodgers,Rockies
2018-05-12,Dodgers,Reds
2018-05-08,Orioles,Royals
2018-06-12,Brewers,Cubs
2018-09-26,Rays,Yankees
2018-04-15,Dodgers,Diamondbacks
2018-06-12,Marlins,Giants
2018-09-05,Astros,Twins
2018-09-29,Angels,Athletics
2018-05-13,Dodgers,Reds
2018-09-30,Rockies,Nationals
2018-09-05,Mariners,Orioles
2018-03-29,Braves,Phillies
2018-06-17,Brewers,Phillies
2018-09-03,Rockies,Giants
2018-09-16,Angels,Mariners
2018-07-26,Angels,White Sox
2018-04-29,Marlins,Rockies
2018-04-27,Royals,White Sox
2018-04-14,Mets,Brewers
2018-09-20,Blue Jays,Rays
2018-09-09,Diamondbacks,Braves
2018-08-02,White Sox,Royals
2018-04-30,Nationals,Pirates
2018-04-20,Rays,Twins
2018-04-28,Cubs,Brewers
2018-06-26,Phillies,Yankees
2018-06-09,Athletics,Royals
2018-04-26,Rangers,Athletics
2018-06-03,Twins,Indians
2018-09-21,White Sox,Cubs
2018-09-12,Orioles,Athletics
2018-05-06,Mets,Rockies
2018-04-17,Rays,Rangers
2018-05-22,Twins,Tigers
2018-06-27,White Sox,Twins
2018-04-24,Reds,Braves
2018-05-30,Padres,Marlins
2018-05-06,Rays,Blue Jays
2018-05-23,Twins,Tigers
2018-07-28,Tigers,Indians
2018-09-02,Rangers,Twins
2018-09-22,Marlins,Reds
2018-04-07,Angels,Athletics
2018-05-08,Padres,Nationals
2018-07-07,Brewers,Braves
2018-03-30,Marlins,Cubs
2018-06-16,Mariners,Red Sox
2018-09-15,Cardinals,Dodgers
2018-05-02,Twins,Blue Jays
2018-06-03,Mets,Cubs
2018-06-11,Marlins,Giants
2018-09-05,Athletics,Yankees
2018-07-05,Nationals,Marlins
2018-05-17,Cardinals,Phillies
2018-04-28,Blue Jays,Rangers
2018-07-31,Twins,Indians
2018-08-27,Yankees,White Sox
2018-08-11,Reds,Diamondbacks
2018-09-14,Braves,Nationals
2018-04-28,Royals,White Sox
2018-10-01,Pirates,Marlins
2018-04-13,Marlins,Pirates
2018-04-09,Phillies,Reds
2018-06-07,Angels,Royals
2018-04-20,Tigers,Royals
2018-05-19,White Sox,Rangers
2018-04-04,Blue Jays,White Sox
2018-08-05,Athletics,Tigers
2018-06-10,Reds,Cardinals
2018-04-09,Nationals,Mets
2018-04-08,Rangers,Blue Jays
2018-04-22,Angels,Giants
2018-09-16,Red Sox,Mets
2018-06-05,Padres,Braves
2018-09-09,Tigers,Cardinals
2018-08-04,Red Sox,Yankees
2018-04-03,Mets,Phillies
2018-07-04,Reds,White Sox
2018-05-19,Giants,Rockies
2018-06-28,Cardinals,Indians
2018-09-02,Padres,Rockies
2018-08-08,Angels,Tigers
2018-06-05,Indians,Brewers
2018-07-26,Angels,White Sox
2018-04-12,Indians,Tigers
2018-08-21,Blue Jays,Orioles
2018-04-07,Indians,Royals
2018-07-07,Astros,White Sox
2018-08-10,Reds,Diamondbacks
2018-08-23,Rays,Royals
2018-06-27,Tigers,Athletics
2018-06-08,Athletics,Royals
2018-07-20,Nationals,Braves
2018-05-05,Cardinals,Cubs
2018-09-21,Indians,Red Sox
2018-05-23,White Sox,Orioles
2018-08-10,Yankees,Rangers
2018-09-11,Tigers,Astros
2018-04-17,Brewers,Reds
2018-06-09,Cubs,Pirates
2018-06-01,Padres,Marlins
2018-07-05,Royals,Indians
2018-08-16,Pirates,Cubs
2018-08-04,Nationals,Reds
2018-07-29,Rockies,Athletics
2018-05-28,Rockies,Giants
2018-08-11,Braves,Brewers
2018-04-29,Indians,Mariners
2018-03-29,Padres,Brewers
2018-06-12,Yankees,Nationals
2018-05-05,Padres,Dodgers
2018-07-07,Angels,Dodgers
2018-05-11,Marlins,Braves
2018-04-28,Phillies,Braves
2018-08-12,Blue Jays,Rays
2018-05-25,Marlins,Nationals
2018-08-24,Blue Jays,Phillies
2018-04-11,Dodgers,Athletics
2018-06-14,Cardinals,Padres
2018-08-01,Twins,Indians
2018-04-25,Giants,Nationals
2018-04-14,Rays,Phillies
2018-06-28,Dodgers,Cubs
2018-09-12,Mariners,Padres
2018-05-24,Rays,Red Sox
2018-05-04,Rays,Blue Jays
2018-06-23,Giants,Padres
2018-06-26,Mets,Pirates
2018-05-27,Tigers,White Sox
2018-04-13,Cubs,Braves
2018-09-25,Angels,Rangers
2018-05-09,Rays,Braves
2018-09-02,Athletics,Mariners
2018-06-02,Mets,Cubs
2018-04-02,Reds,Cubs
2018-09-28,Mariners,Rangers
2018-08-17,Yankees,Blue Jays
2018-04-14,Marlins,Pirates
2018-07-25,Phillies,Dodgers
2018-06-09,Reds,Cardinals
2018-06-03,Mariners,Rays
2018-09-22,Tigers,Royals
2018-07-04,Dodgers,Pirates
2018-08-04,Phillies,Marlins
2018-09-20,Tigers,Royals
2018-05-13,Indians,Royals
2018-04-05,Pirates,Reds
2018-09-04,Indians,Royals
2018-05-27,Brewers,Mets
2018-08-11,Padres,Phillies
2018-08-30,Indians,Twins
2018-08-09,Athletics,Dodgers
2018-08-26,Marlins,Braves
2018-06-16,Yankees,Rays
2018-04-15,Mariners,Athletics
2018-04-15,Mets,Brewers
2018-08-05,Indians,Angels
2018-04-29,Padres,Mets
2018-05-15,Tigers,Indians
2018-09-16,Indians,Tigers
2018-09-12,Phillies,Nationals
2018-09-22,Athletics,Twins
2018-08-18,Braves,Rockies
2018-08-18,Reds,Giants
2018-06-17,Cardinals,Cubs
2018-08-26,Rays,Red Sox
2018-06-10,Rangers,Astros
2018-09-09,Reds,Padres
2018-09-03,Astros,Twins
2018-05-29,Red Sox,Blue Jays
2018-04-13,Royals,Angels
2018-08-18,Cardinals,Brewers
2018-08-30,Cardinals,Pirates
2018-08-14,Yankees,Rays
2018-08-28,Phillies,Nationals
2018-05-09,Cubs,Marlins
2018-05-19,Reds,Cubs
2018-05-06,Brewers,Pirates
2018-05-13,Blue Jays,Red Sox
2018-06-17,Pirates,Reds
2018-06-15,Braves,Padres
2018-05-05,Athletics,Orioles
2018-08-21,Athletics,Rangers
2018-08-16,Royals,Blue Jays
2018-08-31,Yankees,Tigers
2018-08-15,Cardinals,Nationals
2018-07-11,Rays,Tigers
2018-06-03,Padres,Reds
2018-07-31,Dodgers,Brewers
2018-05-24,Reds,Pirates
2018-05-31,Athletics,Rays
2018-04-26,Pirates,Tigers
2018-09-22,Cardinals,Giants
2018-07-04,Yankees,Braves
2018-07-21,Angels,Astros
2018-09-22,Astros,Angels
2018-08-10,Braves,Brewers
2018-07-12,Pirates,Brewers
2018-08-19,Reds,Giants
2018-07-08,Tigers,Rangers
2018-05-31,Dodgers,Phillies
2018-07-11,Indians,Reds
2018-07-15,Orioles,Rangers
2018-06-30,Cardinals,Braves
2018-07-15,Giants,Athletics
2018-06-25,Tigers,Athletics
2018-05-15,Braves,Cubs
2018-07-07,Twins,Orioles
2018-06-13,Diamondbacks,Pirates
2018-09-01,Nationals,Brewers
2018-07-07,Royals,Red Sox
2018-06-20,Twins,Red Sox
2018-09-11,Cubs,Brewers
2018-07-25,Royals,Tigers
2018-05-13,Yankees,Athletics
2018-08-16,Cardinals,Nationals
2018-06-22,Nationals,Phillies
2018-06-28,Phillies,Nationals
2018-04-12,Nationals,Rockies
2018-08-09,Yankees,Rangers
2018-08-24,Mets,Nationals
2018-04-10,White Sox,Rays
2018-07-29,Rockies,Athletics
2018-07-26,Red Sox,Twins
2018-09-26,Reds,Royals
2018-04-09,Marlins,Mets
2018-09-29,Twins,White Sox
2018-08-29,Giants,Diamondbacks
2018-09-16,Brewers,Pirates
2018-09-08,Pirates,Marlins
2018-04-18,Angels,Red Sox
2018-08-22,White Sox,Twins
2018-09-01,Astros,Angels
2018-06-24,Mets,Dodgers
2018-04-07,Phillies,Marlins
2018-09-16,Phillies,Marlins
2018-06-17,Indians,Twins
2018-03-30,Diamondbacks,Rockies
2018-07-14,White Sox,Royals
2018-05-26,Phillies,Blue Jays
2018-04-28,Twins,Reds
2018-05-02,Nationals,Pirates
2018-05-24,White Sox,Orioles
2018-07-29,Giants,Brewers
2018-06-29,Yankees,Red Sox
2018-07-03,Diamondbacks,Cardinals
2018-05-09,Rangers,Tigers
2018-07-09,Pirates,Nationals
2018-07-24,Mets,Padres
2018-08-11,Orioles,Red Sox
2018-07-09,Mets,Phillies
2018-06-06,Nationals,Rays
2018-07-28,Reds,Phillies
2018-09-13,Angels,Rangers
2018-04-04,Yankees,Rays
2018-08-16,Braves,Rockies
2018-04-20,Phillies,Pirates
2018-06-26,Braves,Reds
2018-06-02,Braves,Nationals
2018-08-26,Dodgers,Padres
2018-09-16,Braves,Nationals
2018-08-08,Rockies,Pirates
2018-06-23,Nationals,Phillies
2018-04-29,Giants,Dodgers
2018-06-13,Dodgers,Rangers
2018-08-07,Rockies,Pirates
2018-06-07,Pirates,Dodgers
2018-04-05,Cardinals,Diamondbacks
2018-04-11,Cardinals,Brewers
2018-06-06,Cubs,Phillies
2018-06-27,Phillies,Yankees
2018-06-23,Astros,Royals
2018-08-05,Twins,Royals
2018-07-05,Diamondbacks,Cardinals
2018-05-07,Cardinals,Cubs
2018-04-18,Blue Jays,Royals
2018-09-09,Nationals,Cubs
2018-06-15,Diamondbacks,Mets
2018-08-29,Red Sox,Marlins
2018-05-02,Tigers,Rays
2018-07-11,Red Sox,Rangers
2018-06-28,Rays,Astros
2018-09-15,Red Sox,Mets
2018-07-29,Astros,Rangers
2018-08-25,Giants,Rangers
2018-06-26,Marlins,Diamondbacks
2018-06-23,Indians,Tigers
2018-04-22,Diamondbacks,Padres
2018-08-28,Indians,Twins
2018-04-26,Phillies,Diamondbacks
2018-06-07,Cubs,Phillies
2018-08-18,Nationals,Marlins
2018-08-01,Nationals,Mets
2018-07-06,Mariners,Angels
2018-05-19,White Sox,Rangers
2018-04-11,Orioles,Blue Jays
2018-09-13,Twins,Yankees
2018-05-23,Athletics,Mariners
2018-05-18,Braves,Marlins
2018-07-15,Dodgers,Angels
2018-07-04,Rangers,Astros
2018-08-16,Astros,Rockies
2018-04-02,Blue Jays,White Sox
2018-09-08,White Sox,Angels
2018-05-22,Nationals,Padres
2018-05-20,Mets,Diamondbacks
2018-04-17,Pirates,Rockies
2018-09-16,Giants,Rockies
2018-08-09,Blue Jays,Red Sox
2018-09-27,Rockies,Phillies
2018-06-06,Red Sox,Tigers
2018-04-20,Orioles,Indians
2018-03-31,Rangers,Astros
2018-09-14,Orioles,White Sox
2018-05-23,Phillies,Braves
2018-07-21,Cubs,Cardinals
2018-07-06,Diamondbacks,Padres
2018-06-24,Red Sox,Mariners
2018-08-28,Yankees,White Sox
2018-09-29,Cubs,Cardinals
2018-07-28,Rockies,Athletics
2018-09-11,Giants,Braves
2018-07-22,Nationals,Braves
2018-04-06,Rockies,Braves
2018-09-28,Twins,White Sox
2018-07-15,Cardinals,Reds
2018-09-29,Orioles,Astros
2018-08-03,Dodgers,Brewers
2018-04-30,Reds,Brewers
2018-09-15,Brewers,Pirates
2018-05-29,Yankees,Astros
2018-08-26,Angels,Astros
2018-04-25,Blue Jays,Red Sox
2018-04-05,Red Sox,Rays
2018-08-07,Angels,Tigers
2018-08-17,Nationals,Marlins
2018-09-13,Nationals,Cubs
2018-05-19,Nationals,Dodgers
2018-06-30,Phillies,Nationals
2018-06-17,Mariners,Red Sox
2018-07-06,Tigers,Rangers
2018-05-26,Marlins,Nationals
2018-06-26,Rays,Nationals
2018-05-30,Rockies,Giants
2018-06-19,Reds,Tigers
2018-08-18,Phillies,Mets
2018-08-26,Tigers,White Sox
2018-04-09,White Sox,Rays
2018-07-06,Indians,Athletics
2018-09-19,Brewers,Reds
2018-09-23,Tigers,Royals
2018-09-26,Nationals,Marlins
2018-08-21,Pirates,Braves
2018-09-05,Rockies,Giants
2018-05-07,Phillies,Giants
2018-05-28,Diamondbacks,Reds
2018-09-17,Tigers,Twins
2018-06-09,Phillies,Brewers
2018-04-16,Brewers,Reds
2018-03-31,Rays,Red Sox
2018-08-24,Cubs,Reds
2018-05-05,Cardinals,Cubs
2018-09-21,Marlins,Reds
2018-08-28,Red Sox,Marlins
2018-07-01,Athletics,Indians
2018-09-25,Diamondbacks,Dodgers
2018-09-04,Blue Jays,Rays
2018-05-30,Tigers,Angels
2018-05-25,Phillies,Blue Jays
2018-06-25,Mets,Pirates
2018-08-24,Rays,Red Sox
2018-09-29,Giants,Dodgers
2018-05-12,Diamondbacks,Nationals
2018-04-07,Rangers,Blue Jays
2018-07-15,Padres,Cubs
2018-09-12,Cardinals,Pirates
2018-09-18,Astros,Mariners
2018-06-16,Pirates,Reds
2018-06-27,Giants,Rockies
2018-09-02,White Sox,Red Sox
2018-09-15,Angels,Mariners
2018-04-09,Nationals,Braves
2018-06-03,Diamondbacks,Marlins
2018-09-03,Indians,Royals
2018-09-16,Orioles,White Sox
2018-08-25,Dodgers,Padres
2018-08-30,Braves,Cubs
2018-04-20,Braves,Mets
2018-07-21,Tigers,Red Sox
2018-08-23,Rockies,Padres
2018-04-12,Cubs,Pirates
2018-06-19,Nationals,Orioles
2018-08-14,Athletics,Mariners
2018-04-15,Padres,Giants
2018-08-22,Marlins,Yankees
2018-08-02,Nationals,Reds
2018-08-22,Tigers,Cubs
2018-06-23,White Sox,Athletics
2018-08-22,Rockies,Padres
2018-05-20,Braves,Marlins
2018-04-11,Rockies,Padres
2018-04-28,Giants,Dodgers
2018-08-11,Giants,Pirates
2018-05-05,Rangers,Red Sox
2018-06-21,Astros,Rays
2018-06-12,Diamondbacks,Pirates
2018-05-20,Nationals,Dodgers
2018-09-05,Blue Jays,Rays
2018-07-10,Astros,Athletics
2018-06-10,Tigers,Indians
2018-05-06,Nationals,Phillies
2018-08-26,Royals,Indians
2018-06-21,Twins,Red Sox
2018-07-27,Giants,Brewers
2018-04-09,Indians,Tigers
2018-05-15,Pirates,White Sox
2018-04-16,Astros,Rangers
2018-08-08,Marlins,Cardinals
2018-04-25,Pirates,Tigers
2018-07-31,Padres,Giants
2018-06-29,Rays,Astros
2018-04-15,Red Sox,Orioles
2018-05-14,Cubs,Braves
2018-09-03,Braves,Red Sox
2018-07-12,Red Sox,Blue Jays
2018-09-27,Mariners,Athletics
2018-06-08,Cubs,Pirates
2018-03-31,Athletics,Angels
2018-07-10,Giants,Cubs
2018-09-01,Giants,Mets
2018-09-20,Nationals,Mets
2018-09-26,Mariners,Athletics
2018-08-11,Royals,Cardinals
2018-08-31,Dodgers,Diamondbacks
2018-09-28,Mets,Marlins
2018-09-02,Athletics,Mariners
2018-04-10,Rangers,Angels
2018-04-28,Marlins,Rockies
2018-08-12,Rockies,Dodgers
2018-09-20,Padres,Giants
2018-07-04,Rangers,Astros
2018-04-24,White Sox,Mariners
2018-07-03,Yankees,Braves
2018-08-04,Dodgers,Astros
2018-04-27,Indians,Mariners
2018-08-03,Rays,White Sox
2018-05-22,Dodgers,Rockies
2018-06-22,Mets,Dodgers
2018-05-26,Athletics,Diamondbacks
2018-04-18,Braves,Phillies
2018-06-13,Phillies,Rockies
2018-08-05,Rangers,Orioles
2018-05-22,Cubs,Indians
2018-05-29,Braves,Mets
2018-06-23,Twins,Rangers
2018-06-01,Mariners,Rangers
2018-07-24,Rays,Yankees
2018-08-22,Pirates,Braves
2018-07-23,Phillies,Dodgers
2018-05-22,White Sox,Orioles
2018-06-14,Phillies,Rockies
2018-09-28,Orioles,Astros
2018-06-20,Nationals,Orioles
2018-08-10,Astros,Mariners
2018-07-12,Orioles,Phillies
2018-04-08,Pirates,Reds
2018-07-28,Giants,Brewers
2018-05-25,Brewers,Mets
2018-09-08,Diamondbacks,Braves
2018-04-18,Pirates,Rockies
2018-07-04,Mariners,Angels
2018-07-01,Mariners,Royals
2018-05-19,Reds,Cubs
2018-04-28,Giants,Dodgers
2018-08-22,Mets,Giants
2018-04-03,Marlins,Red Sox
2018-06-28,Giants,Rockies
2018-07-09,Rays,Tigers
2018-06-23,Braves,Orioles
2018-06-13,Marlins,Giants
2018-06-14,Royals,Reds
2018-04-04,Angels,Indians
2018-06-05,Blue Jays,Yankees
2018-04-29,Pirates,Cardinals
2018-04-21,Tigers,Royals
2018-09-12,Cubs,Brewers
2018-06-27,Cardinals,Indians
2018-05-26,Mariners,Twins
2018-05-28,Braves,Mets
2018-04-22,Rockies,Cubs
2018-05-17,Marlins,Dodgers
2018-06-13,Diamondbacks,Pirates
2018-09-15,Giants,Rockies
2018-08-19,Red Sox,Rays
2018-04-21,Cardinals,Reds
2018-06-02,Diamondbacks,Marlins
2018-04-25,Dodgers,Marlins
2018-08-09,Rays,Orioles
2018-08-06,Marlins,Cardinals
2018-04-25,Reds,Braves
2018-08-25,Giants,Rangers
2018-07-01,Padres,Pirates
2018-07-31,Cardinals,Rockies
2018-09-02,Marlins,Blue Jays
2018-04-04,Pirates,Twins
2018-04-25,Orioles,Rays
2018-06-30,Cardinals,Braves
2018-05-19,Cardinals,Phillies
2018-05-10,Blue Jays,Mariners
2018-07-21,Angels,Astros
2018-03-30,Rays,Red Sox
2018-07-14,Dodgers,Angels
2018-08-24,Tigers,White Sox
2018-09-11,Rockies,Diamondbacks
2018-07-07,Mariners,Rockies
2018-05-23,Rangers,Yankees
2018-05-18,Giants,Rockies
2018-04-24,Giants,Nationals
2018-06-29,Reds,Brewers
2018-08-14,Padres,Angels
2018-08-29,Yankees,White Sox
2018-07-11,Astros,Athletics
2018-05-16,Red Sox,Athletics
2018-07-03,Reds,White Sox
2018-09-18,Tigers,Twins
2018-06-09,Nationals,Giants
2018-08-22,Nationals,Phillies
2018-06-09,Rangers,Astros
2018-05-18,Mets,Diamondbacks
2018-09-14,Yankees,Blue Jays
2018-04-29,Orioles,Tigers
2018-06-16,Brewers,Phillies
2018-06-13,Brewers,Cubs
2018-07-25,Blue Jays,Twins
2018-06-05,Twins,White Sox
2018-08-15,Cubs,Brewers
2018-06-16,Cardinals,Cubs
2018-08-02,Rays,Angels
2018-04-07,Twins,Mariners
2018-04-22,Diamondbacks,Padres
2018-08-29,Royals,Tigers
2018-07-01,Cardinals,Braves
2018-07-04,Rockies,Giants
2018-03-30,Blue Jays,Yankees
2018-09-23,Rangers,Mariners
2018-03-30,Tigers,Pirates
2018-05-03,Astros,Yankees
2018-07-25,Rays,Yankees
2018-08-03,Red Sox,Yankees
2018-05-05,Royals,Tigers
2018-05-16,Tigers,Indians
2018-04-21,Yankees,Blue Jays
2018-05-10,Yankees,Red Sox
2018-06-05,Mets,Orioles
2018-04-22,Angels,Giants
2018-08-09,Nationals,Braves
2018-09-05,Rangers,Angels
2018-04-07,White Sox,Tigers
2018-06-10,Rays,Mariners
2018-08-04,Rangers,Orioles
2018-08-17,Twins,Tigers
2018-08-20,Blue Jays,Orioles
2018-09-30,Giants,Dodgers
2018-05-01,Nationals,Pirates
2018-09-22,Cardinals,Giants
2018-04-26,Reds,Braves
2018-07-23,Marlins,Braves
2018-05-12,Padres,Cardinals
2018-07-15,White Sox,Royals
2018-07-07,Nationals,Marlins
2018-04-30,Marlins,Phillies
2018-07-07,Pirates,Phillies
2018-06-07,Twins,White Sox
2018-09-14,Indians,Tigers
2018-09-25,Cardinals,Brewers
2018-06-20,Cubs,Dodgers
2018-07-23,Blue Jays,Twins
2018-08-28,Braves,Rays
2018-06-08,Phillies,Brewers
2018-08-04,Diamondbacks,Giants
2018-04-30,Angels,Yankees
2018-08-31,White Sox,Red Sox
2018-07-06,Nationals,Marlins
2018-05-02,Reds,Brewers
2018-05-18,Blue Jays,Athletics
2018-06-15,Yankees,Rays
2018-07-28,Orioles,Rays
2018-08-11,Astros,Mariners
2018-06-22,Pirates,Diamondbacks
2018-09-14,Rays,Athletics
2018-04-03,Yankees,Rays
2018-04-07,Astros,Padres
2018-06-30,Mariners,Royals
2018-03-30,Mariners,Indians
2018-09-30,Mets,Marlins
2018-09-02,Yankees,Tigers
2018-06-23,Brewers,Cardinals
2018-04-18,Tigers,Orioles
2018-08-25,Marlins,Braves
2018-05-15,Padres,Rockies
2018-06-07,Rays,Mariners
2018-04-11,Marlins,Mets
2018-04-10,Rockies,Padres
2018-07-18,National League,American League
