Date,Home,Away
2018-09-16,Padres,Rangers
2018-05-09,Padres,Nationals
2018-08-11,Rockies,Dodgers
2018-09-25,White Sox,Indians
2018-06-10,Twins,Angels
2018-08-22,Athletics,Rangers
2018-07-22,Reds,Pirates
2018-04-03,Braves,Nationals
2018-08-16,Phillies,Mets
2018-08-21,Mariners,Astros
2018-06-02,Angels,Rangers
2018-07-04,Mariners,Angels
2018-05-06,Athletics,Orioles
2018-06-03,Cardinals,Pirates
2018-09-02,Rangers,Twins
2018-07-25,Reds,Cardinals
2018-06-23,Angels,Blue Jays
2018-06-12,White Sox,Indians
2018-04-25,Phillies,Diamondbacks
2018-07-27,Tigers,Indians
2018-07-13,Angels,Mariners
2018-08-11,Orioles,Red Sox
2018-05-30,Orioles,Nationals
2018-09-22,Yankees,Orioles
2018-07-26,Marlins,Nationals
2018-07-12,Mets,Nationals
2018-07-07,Giants,Cardinals
2018-07-31,Mariners,Astros
2018-06-10,Marlins,Padres
2018-05-20,White Sox,Rangers
2018-08-18,Mariners,Dodgers
2018-05-05,Padres,Dodgers
2018-04-18,Padres,Dodgers
2018-06-25,Nationals,Phillies
2018-09-09,Rockies,Dodgers
2018-07-01,Rangers,White Sox
2018-06-23,Twins,Rangers
2018-06-26,Astros,Blue Jays
2018-05-02,Mariners,Athletics
2018-07-04,Royals,Indians
2018-09-01,Phillies,Cubs
2018-04-22,Phillies,Pirates
2018-07-03,Blue Jays,Mets
2018-05-12,Astros,Rangers
2018-06-22,White Sox,Athletics
2018-08-04,Mariners,Blue Jays
2018-06-11,Mets,Yankees
2018-07-28,Yankees,Royals
2018-07-21,Blue Jays,Orioles
2018-09-23,Rangers,Mariners
2018-06-28,White Sox,Twins
2018-08-26,Dodgers,Padres
2018-09-01,Rangers,Twins
2018-06-20,Indians,White Sox
2018-04-01,Reds,Nationals
2018-09-01,Astros,Angels
2018-06-22,Brewers,Cardinals
2018-06-25,Orioles,Mariners
2018-08-05,Diamondbacks,Giants
2018-09-06,Rockies,Giants
2018-05-09,Brewers,Indians
2018-04-18,Athletics,White Sox
2018-06-24,Brewers,Cardinals
2018-09-09,Rockies,Dodgers
2018-07-14,Mets,Nationals
2018-08-18,Athletics,Astros
2018-09-05,Braves,Red Sox
2018-09-18,Brewers,Reds
2018-05-20,Royals,Yankees
2018-04-21,Athletics,Red Sox
2018-04-29,Giants,Dodgers
2018-05-25,Pirates,Cardinals
2018-09-26,White Sox,Indians
2018-04-30,Cubs,Rockies
2018-04-16,Braves,Phillies
2018-08-29,Cardinals,Pirates
2018-04-17,Yankees,Marlins
2018-05-20,Mariners,Tigers
2018-09-08,Reds,Padres
2018-05-05,Mariners,Angels
2018-06-19,Yankees,Mariners
2018-04-10,Giants,Diamondbacks
2018-08-26,Mets,Nationals
2018-07-29,Tigers,Indians
2018-03-29,Orioles,Twins
2018-06-03,White Sox,Brewers
2018-04-28,Orioles,Tigers
2018-08-01,Twins,Indians
2018-04-08,Giants,Dodgers
2018-04-04,Padres,Rockies
2018-09-01,Cardinals,Reds
2018-07-29,Pirates,Mets
2018-04-11,Royals,Mariners
2018-09-15,Cubs,Reds
2018-08-26,Blue Jays,Phillies
2018-09-29,Rays,Blue Jays
2018-04-29,Astros,Athletics
2018-04-02,Pirates,Twins
2018-09-22,Astros,Angels
2018-05-31,Rockies,Giants
2018-09-16,Cubs,Reds
2018-04-21,Orioles,Indians
2018-08-12,Yankees,Rangers
2018-06-02,Astros,Red Sox
2018-06-13,Brewers,Cubs
2018-08-07,Giants,Astros
2018-09-12,Giants,Braves
2018-05-17,Blue Jays,Athletics
2018-06-18,Cardinals,Cubs
2018-05-15,Angels,Astros
2018-06-20,Blue Jays,Braves
